r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,time,Principale1,Principale2,Cluster
8,0,0,680616,51468,493472,0,0,0,0,9184,30947,48,43,3,5,0,0 2025-10-22,"2,6051636356","-3,302935499",1
8,0,0,680012,51468,493504,0,0,0,0,9025,30430,50,42,3,5,0,0 2025-10-22,"2,5756176823","-3,126886753",1
3,1,0,679304,51476,493488,0,0,0,96,8785,30084,48,44,3,5,0,0 2025-10-22,"2,3070465856","-3,831772754",1
9,1,0,677896,51476,493504,0,0,0,0,9116,31193,44,47,3,5,0,0 2025-10-22,"2,8596388296","-3,164473908",1
8,2,0,679208,51484,493488,0,0,0,8,9051,31203,46,46,3,5,0,0 2025-10-22,"2,9345225679","-3,287101578",1
6,0,0,679632,51484,493484,0,0,0,0,9190,30944,45,47,3,5,0,0 2025-10-22,"2,4258329098","-3,243244589",1
6,1,0,681944,51484,493456,0,0,0,42,9041,30857,47,46,2,5,0,0 2025-10-22,"2,6270644716","-3,599964337",1
6,0,0,678796,51484,493492,0,0,0,46,9197,31075,48,44,3,5,0,0 2025-10-22,"2,4667900951","-3,459726424",1
7,0,0,679832,51484,493548,0,0,0,0,9078,31280,46,46,3,5,0,0 2025-10-22,"2,4719945814","-2,83802467",1
5,0,0,680180,51484,493500,0,0,0,0,9113,31460,46,46,3,6,0,0 2025-10-22,"2,4967020643","-3,157863764",1
4,1,0,680820,51484,493504,0,0,0,0,9098,31350,46,46,3,5,0,0 2025-10-22,"2,3606217784","-3,144103521",1
5,1,0,680936,51484,493500,0,0,0,0,8877,31400,48,45,3,5,0,0 2025-10-22,"2,4593196719","-3,151328684",1
7,1,0,681548,51484,493448,0,0,0,0,8874,31054,45,47,3,5,0,0 2025-10-22,"2,665991851","-3,42404548",1
10,0,0,681964,51484,493436,0,0,0,0,9016,31026,45,48,3,5,0,0 2025-10-22,"2,8406687436","-3,416818394",1
5,0,0,680756,51484,493464,0,0,0,0,8951,31269,48,44,3,5,0,0 2025-10-22,"2,3183764976","-3,352604236",1
7,0,0,681964,51484,493432,0,0,0,0,9037,31409,48,44,3,5,0,0 2025-10-22,"2,5403424032","-3,484975778",1
5,0,0,680016,51484,493448,0,0,0,0,9084,30924,47,44,3,6,0,0 2025-10-22,"2,503645883","-3,479861104",1
8,0,0,678956,51484,493500,0,0,0,0,9077,30819,46,47,2,5,0,0 2025-10-22,"2,628503858","-3,133110455",1
7,1,0,679128,51484,493496,0,0,0,0,9076,30906,47,45,2,5,0,0 2025-10-22,"2,6711081993","-3,19105454",1
6,0,0,742228,51484,493492,0,0,0,0,9052,30892,45,47,3,5,0,0 2025-10-22,"1,8787554041","-1,662680298",2
7,0,0,743564,51484,493452,0,0,0,0,9083,30958,43,49,3,5,0,0 2025-10-22,"2,0018039922","-1,855801063",2
3,1,0,743848,51484,493480,0,0,0,0,8962,31058,44,48,3,5,0,0 2025-10-22,"1,7311441735","-1,761431826",2
5,2,0,744188,51484,493480,0,0,0,0,8991,31261,45,47,3,5,0,0 2025-10-22,"2,0876460253","-1,744396789",2
7,0,0,743076,51492,493496,0,0,0,84,9040,30992,46,46,3,5,0,0 2025-10-22,"2,0364268543","-2,03073899",2
2,4,0,743720,51492,493544,0,0,0,0,8805,29714,46,46,3,5,0,0 2025-10-22,"2,002986557","-1,446646155",2
3,4,0,742288,51492,493504,0,0,0,10,8822,30119,47,45,3,5,0,0 2025-10-22,"2,1629620149","-1,759623113",2
6,0,0,741744,51500,493464,0,0,0,8,8975,30841,48,44,3,5,0,0 2025-10-22,"1,8995195529","-1,848379619",2
6,1,0,742896,51500,493496,0,0,0,0,9101,30948,50,43,3,5,0,0 2025-10-22,"2,0444186047","-1,602278865",2
7,0,0,742336,51500,493512,0,0,0,4,9216,31346,47,45,3,5,0,0 2025-10-22,"1,9874596714","-1,503511791",2
8,0,0,743732,51500,493496,0,0,0,0,9082,31252,48,44,3,5,0,0 2025-10-22,"2,0683361454","-1,531909132",2
4,2,0,743716,51500,493528,0,0,0,0,8793,30060,46,46,3,5,0,0 2025-10-22,"1,9078766194","-1,449899811",2
7,0,0,740848,51500,493456,0,0,0,0,8928,30865,46,47,2,5,0,0 2025-10-22,"2,0284278533","-1,858951054",2
9,1,0,743104,51500,493464,0,0,0,0,8849,30943,47,46,2,5,0,0 2025-10-22,"2,3501800355","-1,748620733",2
8,0,0,741500,51508,493484,0,0,0,12,9122,31162,47,46,2,5,0,0 2025-10-22,"2,1330966075","-1,700407551",2
6,0,0,744048,51508,493524,0,0,0,0,9054,31284,48,45,3,5,0,0 2025-10-22,"1,8626887129","-1,363486222",2
1,2,0,743292,51508,493508,0,0,0,4,9165,32087,48,45,2,5,0,0 2025-10-22,"1,7410055913","-1,610800633",2
6,0,0,744032,51508,493524,0,0,0,0,9093,31687,48,45,2,5,0,0 2025-10-22,"1,8844535775","-1,360852257",2
6,0,0,744084,51508,493484,0,0,0,0,9198,31921,49,44,3,5,0,0 2025-10-22,"1,9204277287","-1,599302442",2
6,0,0,743496,51508,493500,0,0,0,0,9228,31929,46,47,2,5,0,0 2025-10-22,"1,9261424491","-1,515990493",2
7,0,0,743384,51508,493416,0,0,0,0,9334,31880,49,44,3,5,0,0 2025-10-22,"2,0872117094","-2,010142815",2
8,0,0,742192,51508,493500,0,0,0,0,9376,32114,49,44,3,4,0,0 2025-10-22,"1,9608329905","-1,505965698",2
8,0,0,743952,51508,493500,0,0,0,0,9231,31887,48,46,2,5,0,0 2025-10-22,"2,1347289856","-1,473625029",2
6,0,0,744604,51508,493492,0,0,0,0,9133,32127,47,46,2,5,0,0 2025-10-22,"1,9188433585","-1,537472432",2
6,0,0,743928,51508,493500,0,0,0,0,9038,32221,50,44,2,4,0,0 2025-10-22,"1,7475079096","-1,493619154",2
4,1,0,743808,51508,493416,0,0,0,0,9007,32044,47,46,2,4,0,0 2025-10-22,"1,7479974288","-2,057086414",2
6,0,0,742980,51508,493500,0,0,0,0,9095,32347,48,46,2,5,0,0 2025-10-22,"1,945462248","-1,526614363",2
8,0,0,743816,51508,493504,0,0,0,0,9272,32204,49,44,2,5,0,0 2025-10-22,"2,1261739783","-1,453072237",2
7,0,0,743804,51508,493500,0,0,0,0,9273,32487,51,43,2,4,0,0 2025-10-22,"1,8735413648","-1,477925634",2
8,0,0,741788,51508,493492,0,0,0,0,9216,32269,45,49,2,4,0,0 2025-10-22,"1,9882723006","-1,56266081",2
9,0,0,743596,51508,493484,0,0,0,0,9251,32295,48,45,2,4,0,0 2025-10-22,"2,0619797842","-1,553370072",2
9,0,0,742936,51508,493480,0,0,0,0,9183,32171,47,47,2,5,0,0 2025-10-22,"2,2603168417","-1,603971423",2
6,0,0,740084,51508,493484,0,0,0,0,9308,32537,48,46,1,4,0,0 2025-10-22,"1,8329273241","-1,678665168",2
5,3,0,743424,51508,493448,0,0,0,0,9230,32381,47,47,2,4,0,0 2025-10-22,"2,1817581444","-1,896215483",2
7,0,0,743764,51508,493500,0,0,0,0,9206,32573,45,49,2,5,0,0 2025-10-22,"2,0543942622","-1,490499611",2
3,3,0,742844,51508,493520,0,0,0,0,9337,32529,47,48,2,4,0,0 2025-10-22,"1,9656628294","-1,501660776",2
7,0,0,743096,51508,493416,0,0,0,0,9487,32635,48,46,2,4,0,0 2025-10-22,"1,9673444055","-1,9983261",2
7,1,0,742236,51508,493448,0,0,0,0,9276,32450,48,46,2,4,0,0 2025-10-22,"2,0828139339","-1,851718151",2
2,2,0,743656,51508,493516,0,0,0,0,9090,32684,48,46,2,4,0,0 2025-10-22,"1,672021856","-1,503333812",2
7,0,0,744784,51516,493468,0,0,0,6,9314,32694,48,47,1,4,0,0 2025-10-22,"1,9300518286","-1,655150118",2
5,0,0,742928,51516,493424,0,0,0,0,9264,32877,49,45,2,4,0,0 2025-10-22,"1,7509744046","-1,966021305",2
9,0,0,743296,51516,493500,0,0,0,2,9309,32868,53,42,1,4,0,0 2025-10-22,"2,1128296642","-1,447471478",2
8,0,0,743916,51516,493492,0,0,0,0,9189,32890,49,46,1,3,0,0 2025-10-22,"1,8253228336","-1,475049839",2
5,0,0,743056,51516,493432,0,0,0,0,9313,32595,48,46,2,4,0,0 2025-10-22,"1,7417561823","-1,915171424",2
8,0,0,743572,51516,493524,0,0,0,0,9514,33087,47,47,2,4,0,0 2025-10-22,"1,9933803189","-1,29955996",2
6,0,0,742416,51516,493492,0,0,0,0,9325,32814,48,47,2,4,0,0 2025-10-22,"1,824074194","-1,551501201",2
6,1,0,743896,51516,493500,0,0,0,0,9246,33080,47,48,1,4,0,0 2025-10-22,"1,9695581386","-1,487806221",2
6,0,0,743560,51516,493432,0,0,0,0,9327,33048,48,46,2,4,0,0 2025-10-22,"1,8483719503","-1,886210168",2
5,0,0,743644,51516,493500,0,0,0,0,9260,32909,48,46,1,4,0,0 2025-10-22,"1,6966448412","-1,489379328",2
4,1,0,743844,51516,493440,0,0,0,0,9320,33052,49,46,1,4,0,0 2025-10-22,"1,8231450722","-1,879114162",2
9,0,0,744512,51516,493516,0,0,0,0,9406,33061,49,46,1,4,0,0 2025-10-22,"2,1044452605","-1,308627071",2
7,1,0,742064,51516,493484,0,0,0,0,9295,32905,48,47,1,3,0,0 2025-10-22,"1,91428484","-1,603624329",2
5,0,0,743852,51516,493500,0,0,0,0,9313,33094,46,49,1,4,0,0 2025-10-22,"1,7227749234","-1,480860851",2
4,2,0,742488,51516,493496,0,0,0,0,9357,32734,47,48,1,4,0,0 2025-10-22,"1,9442174641","-1,597362673",2
7,1,0,742740,51516,493456,0,0,0,0,9290,33061,48,46,1,4,0,0 2025-10-22,"2,0964072356","-1,768272269",2
7,0,0,742676,51516,493500,0,0,0,0,9292,33128,48,47,1,4,0,0 2025-10-22,"1,9274099101","-1,48054175",2
5,0,0,742688,51516,493416,0,0,0,0,9417,33084,46,49,1,4,0,0 2025-10-22,"1,8051045467","-2,01443112",2
5,0,0,743100,51516,493488,0,0,0,0,9447,33308,47,48,1,4,0,0 2025-10-22,"1,7546186328","-1,569026905",2
7,1,0,744644,51516,493516,0,0,0,0,9516,33116,49,47,1,4,0,0 2025-10-22,"2,0903867331","-1,352702191",2
10,1,0,743088,51516,493524,0,0,0,0,9423,33147,50,46,1,4,0,0 2025-10-22,"2,3848426167","-1,299813378",2
6,0,0,743052,51516,493492,0,0,0,0,9395,33304,50,45,1,4,0,0 2025-10-22,"1,8440080535","-1,532101006",2
7,0,0,744084,51524,493480,0,0,0,16,9404,33083,48,47,1,4,0,0 2025-10-22,"1,9519062242","-1,631160718",2
7,0,0,744420,51524,493508,0,0,0,0,9493,33493,45,50,1,4,0,0 2025-10-22,"1,9343630675","-1,36624213",2
6,0,0,742160,51524,493500,0,0,0,0,9389,33248,48,47,1,4,0,0 2025-10-22,"1,8440798544","-1,486744381",2
6,0,0,743048,51532,493488,0,0,0,78,9340,33159,50,46,1,4,0,0 2025-10-22,"1,9191215845","-1,932123804",2
6,1,0,742232,51532,493504,0,0,0,0,9345,33217,49,47,1,3,0,0 2025-10-22,"1,8268730306","-1,45095287",2
6,0,0,742304,51532,493504,0,0,0,0,9298,32612,44,51,1,4,0,0 2025-10-22,"1,8178911511","-1,443551661",2
5,0,0,742760,51532,493488,0,0,0,10,9572,33258,48,47,1,4,0,0 2025-10-22,"1,7734904556","-1,590490366",2
8,0,0,742952,51532,493528,0,0,0,0,9565,33392,49,46,1,4,0,0 2025-10-22,"2,0307822631","-1,247107808",2
3,2,0,741524,51540,493472,0,0,0,6,9348,33222,50,45,1,4,0,0 2025-10-22,"1,8844728324","-1,752327902",2
7,0,0,743736,51540,493488,0,0,0,0,9614,33401,44,51,1,3,0,0 2025-10-22,"1,7821870506","-1,45275843",2
3,3,0,742980,51540,493532,0,0,0,0,9554,33321,47,49,1,3,0,0 2025-10-22,"1,8363555424","-1,328778339",2
2,4,0,742340,51540,493496,0,0,0,2,9456,33268,48,48,1,3,0,0 2025-10-22,"1,9172479571","-1,609937895",2
7,1,0,739324,51540,493504,0,0,0,0,9439,33194,48,48,1,4,0,0 2025-10-22,"2,1380972031","-1,498130606",2
5,0,0,741920,51540,493504,0,0,0,0,9401,33064,44,51,1,4,0,0 2025-10-22,"1,7421684294","-1,445118074",2
5,0,0,743012,51540,493456,0,0,0,0,9524,33165,50,46,1,3,0,0 2025-10-22,"1,6158277991","-1,692590984",2
9,0,0,743444,51540,493512,0,0,0,0,9526,33356,47,49,1,3,0,0 2025-10-22,"1,9702550987","-1,285226179",2
7,0,0,743012,51540,493504,0,0,0,0,9591,33621,49,47,1,3,0,0 2025-10-22,"1,7940787313","-1,371347685",2
6,0,0,742324,51540,493512,0,0,0,0,9619,33572,49,47,1,3,0,0 2025-10-22,"1,6965979397","-1,354443898",2
5,0,0,744344,51540,493524,0,0,0,0,9549,33420,48,47,1,4,0,0 2025-10-22,"1,7259244662","-1,261740004",2
6,0,0,742832,51540,493504,0,0,0,0,9497,33218,47,48,1,3,0,0 2025-10-22,"1,662676407","-1,395274718",2
3,2,0,743212,51540,493468,0,0,0,0,9430,33228,50,46,1,4,0,0 2025-10-22,"1,8931369469","-1,700003886",2
6,0,0,741476,51540,493520,0,0,0,0,9589,33303,47,48,1,3,0,0 2025-10-22,"1,6721283136","-1,330540545",2
4,2,0,741728,51540,493492,0,0,0,0,9530,33353,50,46,1,3,0,0 2025-10-22,"1,8170787546","-1,564342258",2
4,2,0,740888,51540,493528,0,0,0,0,9378,33480,48,48,1,4,0,0 2025-10-22,"1,9685752862","-1,380380056",2
8,0,0,739384,51540,493488,0,0,0,0,9382,33480,48,47,1,3,0,0 2025-10-22,"1,8965903778","-1,547415158",2
5,2,0,743668,51540,493504,0,0,0,0,9349,33417,49,47,1,3,0,0 2025-10-22,"1,876427894","-1,431933693",2
5,1,0,743920,51540,493448,0,0,0,0,9447,33101,49,47,1,3,0,0 2025-10-22,"1,7620194167","-1,741568648",2
6,0,0,741736,51540,493472,0,0,0,0,9520,33484,47,48,1,3,0,0 2025-10-22,"1,7047467437","-1,613674249",2
9,0,0,741920,51540,493460,0,0,0,0,9407,33302,52,44,1,3,0,0 2025-10-22,"2,0077805691","-1,637687357",2
6,1,0,741340,51540,493512,0,0,0,0,9440,33435,49,46,1,4,0,0 2025-10-22,"2,0045367509","-1,41615764",2
10,0,0,742568,51540,493552,0,0,0,0,9465,33577,47,48,1,3,0,0 2025-10-22,"2,0284135304","-1,052905346",3
5,1,0,744048,51540,493512,0,0,0,0,9501,33350,49,47,1,4,0,0 2025-10-22,"1,9039759299","-1,361916369",2
7,0,0,740716,51540,493436,0,0,0,0,9548,33360,48,47,1,3,0,0 2025-10-22,"1,8378789067","-1,841172148",2
8,1,0,743244,51540,493520,0,0,0,0,9547,33287,53,43,1,4,0,0 2025-10-22,"2,2001425096","-1,289118933",2
4,3,0,742800,51540,493488,0,0,0,0,9373,33285,46,49,1,3,0,0 2025-10-22,"1,9360654203","-1,588330235",2
7,0,0,737984,51540,493504,0,0,0,0,9624,33347,47,49,1,3,0,0 2025-10-22,"1,8337814764","-1,49529619",2
11,0,0,742772,51540,493524,0,0,0,0,9651,33477,45,51,1,3,0,0 2025-10-22,"2,1788588048","-1,198063625",2
7,2,0,743520,51540,493504,0,0,0,0,9666,33386,50,45,1,4,0,0 2025-10-22,"2,2641510068","-1,415327522",2
6,0,0,743296,51548,493464,0,0,0,6,9342,33355,51,45,1,3,0,0 2025-10-22,"1,698270042","-1,636962652",2
4,0,0,742112,51548,493488,0,0,0,0,9322,33136,49,46,1,4,0,0 2025-10-22,"1,6454249425","-1,532780326",2
6,0,0,743068,51548,493424,0,0,0,0,9490,33179,49,46,1,4,0,0 2025-10-22,"1,8985488465","-1,863549019",2
2,4,0,743580,51548,493488,0,0,0,2,9453,33222,46,50,1,3,0,0 2025-10-22,"1,9119838905","-1,608689824",2
6,0,0,740188,51548,493456,0,0,0,0,9481,33375,47,49,1,4,0,0 2025-10-22,"1,9213027777","-1,738586881",2
7,0,0,741452,51548,493404,0,0,0,0,9455,33432,52,43,1,4,0,0 2025-10-22,"2,0271769073","-2,008482486",2
8,0,0,742280,51548,493480,0,0,0,0,9521,33534,48,48,1,4,0,0 2025-10-22,"2,0892205008","-1,512228462",2
9,0,0,744296,51548,493488,0,0,0,0,9340,33205,47,48,1,4,0,0 2025-10-22,"2,1237753204","-1,405671469",2
6,0,0,741748,51548,493520,0,0,0,0,9393,33402,48,47,1,4,0,0 2025-10-22,"1,834530879","-1,317610825",2
5,0,0,740856,51548,493488,0,0,0,0,9440,33278,48,47,1,4,0,0 2025-10-22,"1,7688973726","-1,546875901",2
7,0,0,741320,51548,493472,0,0,0,0,9364,33527,46,50,1,4,0,0 2025-10-22,"1,9922034544","-1,600695579",2
12,0,0,738060,51548,493488,0,0,0,0,9175,33387,46,49,1,3,0,0 2025-10-22,"2,2816963914","-1,505127029",2
4,3,0,738852,51548,493440,0,0,0,0,9360,33115,48,47,1,4,0,0 2025-10-22,"2,1791953233","-1,966868914",2
5,1,0,741224,51548,493488,0,0,0,0,9563,33372,45,51,1,3,0,0 2025-10-22,"1,7729863394","-1,544699315",2
3,3,0,739508,51556,493472,0,0,0,8,9484,33335,50,45,1,4,0,0 2025-10-22,"2,0719633427","-1,793255499",2
11,1,0,739344,51556,493504,0,0,0,0,9371,33421,47,49,1,4,0,0 2025-10-22,"2,5306659685","-1,400474219",2
3,3,0,737076,51556,493468,0,0,0,2,9511,33491,50,46,1,3,0,0 2025-10-22,"1,9335766995","-1,831073153",2
6,0,0,738932,51556,493492,0,0,0,0,9450,33363,50,46,1,3,0,0 2025-10-22,"1,718462141","-1,52246667",2
1,5,0,740252,51556,493444,0,0,0,0,9461,33438,49,47,1,3,0,0 2025-10-22,"2,0323491201","-1,960851026",2
7,0,0,739832,51556,493492,0,0,0,0,9472,33277,46,50,1,3,0,0 2025-10-22,"1,8115250112","-1,485919565",2
9,0,0,744168,51556,493500,0,0,0,0,9577,33252,51,45,1,3,0,0 2025-10-22,"1,9714092151","-1,300821833",2
4,1,0,744700,51556,493484,0,0,0,0,9515,33197,49,47,1,4,0,0 2025-10-22,"1,8173489131","-1,491092439",2
7,0,0,745044,51556,493472,0,0,0,0,9557,33097,49,46,1,4,0,0 2025-10-22,"1,9471364697","-1,491280833",2
3,2,0,745084,51556,493400,0,0,0,0,9545,33234,47,49,1,3,0,0 2025-10-22,"1,7588837027","-2,012930863",2
5,0,0,745268,51556,493432,0,0,0,0,9621,33394,44,51,1,4,0,0 2025-10-22,"1,7945680449","-1,754232346",2
8,0,0,747048,51556,493504,0,0,0,0,9459,33413,46,50,1,4,0,0 2025-10-22,"2,0229500987","-1,232671899",2
7,0,0,743968,51556,493476,0,0,0,0,9571,33175,48,48,1,3,0,0 2025-10-22,"1,7937367376","-1,480076518",2
5,1,0,745744,51556,493400,0,0,0,0,9355,33333,50,46,1,3,0,0 2025-10-22,"1,7787596379","-1,947767761",2
5,1,0,748900,51556,493440,0,0,0,0,9596,33273,51,45,1,4,0,0 2025-10-22,"1,9215189078","-1,637362603",2
10,0,0,750916,51556,493476,0,0,0,0,9580,33385,45,50,1,3,0,0 2025-10-22,"2,0208196101","-1,267046381",2
10,2,0,746340,51556,493492,0,0,0,0,9424,33447,49,46,1,4,0,0 2025-10-22,"2,5244321637","-1,338901294",2
5,0,0,748908,51564,493468,0,0,0,6,9641,33639,47,49,1,4,0,0 2025-10-22,"1,7643637808","-1,457283457",2
6,0,0,746644,51564,493428,0,0,0,0,9339,33233,49,46,1,4,0,0 2025-10-22,"1,8521503855","-1,714844353",2
8,0,0,758432,51564,493440,0,0,0,2,9437,33340,48,47,1,4,0,0 2025-10-22,"1,9540651442","-1,333299359",2
4,2,0,752704,51564,493532,0,0,0,0,9460,33503,47,48,1,4,0,0 2025-10-22,"1,8547806408","-1,009535362",3
6,0,0,750032,51564,493468,0,0,0,0,9394,33272,49,46,1,3,0,0 2025-10-22,"1,6183791125","-1,378860896",2
12,0,0,745432,51572,493492,0,0,0,10,9413,33248,48,48,1,4,0,0 2025-10-22,"2,4371044922","-1,301907957",2
7,0,0,744632,51572,493476,0,0,0,0,9524,33326,47,48,1,3,0,0 2025-10-22,"1,7695238691","-1,427187972",2
5,0,0,745676,51572,493428,0,0,0,40,9490,33297,47,49,1,4,0,0 2025-10-22,"1,827626217","-1,942594962",2
6,1,0,745004,51580,493476,0,0,0,28,9389,33321,47,49,1,4,0,0 2025-10-22,"2,0320619409","-1,59484032",2
9,1,0,744816,51580,493468,0,0,0,0,9313,33235,47,49,1,4,0,0 2025-10-22,"2,303228186","-1,456072588",2
4,0,0,744340,51580,493392,0,0,0,24,9445,33477,49,47,1,3,0,0 2025-10-22,"1,5724944198","-2,091321326",2
4,1,0,746188,51580,493460,0,0,0,0,9297,33377,46,49,1,3,0,0 2025-10-22,"1,6099861028","-1,534509521",2
5,0,0,744808,51580,493476,0,0,0,0,9496,33358,48,48,1,3,0,0 2025-10-22,"1,5856806478","-1,430958093",2
7,0,0,744676,51580,493440,0,0,0,0,9496,33367,46,50,1,3,0,0 2025-10-22,"1,8124102006","-1,621956474",2
2,3,0,744684,51580,493476,0,0,0,0,9511,33361,51,44,1,4,0,0 2025-10-22,"1,920639937","-1,555824317",2
6,0,0,746448,51580,493444,0,0,0,0,9670,33495,47,49,1,3,0,0 2025-10-22,"1,7137708112","-1,566257075",2
5,0,0,745952,51580,493400,0,0,0,0,9445,33421,48,48,1,4,0,0 2025-10-22,"1,8114017928","-1,8724",2
5,2,0,746248,51580,493428,0,0,0,0,9462,33255,49,47,1,3,0,0 2025-10-22,"1,9148111785","-1,729316604",2
8,1,0,744840,51580,493476,0,0,0,0,9524,33286,47,48,1,4,0,0 2025-10-22,"2,200741685","-1,420992967",2
7,0,0,745196,51580,493456,0,0,0,0,9353,33272,48,47,1,4,0,0 2025-10-22,"1,9430340846","-1,527945429",2
8,0,0,744944,51580,493468,0,0,0,0,9463,33301,49,47,1,3,0,0 2025-10-22,"1,8810780856","-1,432617972",2
4,2,0,745200,51580,493484,0,0,0,0,9488,33363,48,48,1,3,0,0 2025-10-22,"1,7882830821","-1,431318271",2
5,0,0,747492,51580,493476,0,0,0,0,9334,33179,48,48,1,4,0,0 2025-10-22,"1,7251331296","-1,378931045",2
9,0,0,746548,51580,493520,0,0,0,0,9294,33174,47,48,1,4,0,0 2025-10-22,"2,0730619617","-1,080950607",3
7,0,0,745844,51580,493476,0,0,0,0,9344,33187,51,45,1,4,0,0 2025-10-22,"1,9352200963","-1,389866085",2
6,0,0,745412,51580,493492,0,0,0,0,9536,33244,49,47,1,4,0,0 2025-10-22,"1,8476792677","-1,315963342",2
9,0,0,744688,51580,493476,0,0,0,0,9344,33003,49,46,1,4,0,0 2025-10-22,"2,1210481327","-1,391766923",2
3,4,0,743932,51580,493472,0,0,0,0,9592,33275,47,49,1,4,0,0 2025-10-22,"2,2088091495","-1,602827492",2
6,0,0,745824,51580,493476,0,0,0,0,9464,33319,47,49,1,3,0,0 2025-10-22,"1,6724085323","-1,392020402",2
